< 자동차 등록현황(총 계) >,,,,,,,,,,,,,,,,,,,,,,
조회년월: 2021.11,,,,,,,,,,,,,,,,,,,,,,
,,,,차 종 별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
,,,,승용일반형 외산 저속전기,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
,,,,승용일반형 외산 전기,10231 ,2969 ,2667 ,2910 ,805 ,1440 ,860 ,359 ,9098 ,963 ,853 ,1395 ,860 ,1058 ,1108 ,2108 ,1980 ,41664 
,,승용겸 화물 계,,,10582 ,3378 ,2756 ,13984 ,1921 ,1965 ,1192 ,405 ,17470 ,2356 ,2414 ,2958 ,2303 ,7741 ,3032 ,4624 ,3575 ,82656 
,,,,승용겸 화물 1500CC미만,10066 ,3203 ,2583 ,13828 ,1766 ,1854 ,1142 ,394 ,16507 ,2162 ,2223 ,2740 ,2081 ,7515 ,2762 ,4431 ,3464 ,78721 
,,,,승용겸 화물 2000CC미만,6 ,7 ,2 ,2 ,1 ,3 ,  ,  ,10 ,1 ,2 ,  ,4 ,2 ,3 ,  ,1 ,44 
,,,,승용겸 화물 2500CC미만,380 ,119 ,136 ,133 ,114 ,77 ,42 ,10 ,806 ,143 ,156 ,176 ,168 ,188 ,223 ,158 ,91 ,3120 
,,,,승용겸 화물 3000CC미만,39 ,12 ,4 ,9 ,16 ,10 ,3 ,1 ,55 ,18 ,8 ,15 ,21 ,7 ,16 ,13 ,5 ,252 
,,,,승용겸 화물 3500CC미만,10 ,3 ,3 ,  ,3 ,4 ,  ,  ,7 ,5 ,4 ,1 ,6 ,2 ,4 ,4 ,4 ,60 
,,,,승용겸 화물 3500CC이상,80 ,34 ,28 ,12 ,21 ,17 ,5 ,  ,83 ,27 ,21 ,26 ,23 ,27 ,24 ,17 ,9 ,454 
,,,,승용겸 화물 저속전기,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
,,,,승용겸 화물 전기,1 ,  ,  ,  ,  ,  ,  ,  ,2 ,  ,  ,  ,  ,  ,  ,1 ,1 ,5 
,,승용다목적형 계,,,654874 ,310057 ,249418 ,373752 ,147399 ,137801 ,142226 ,40224 ,1345061 ,182795 ,186156 ,240570 ,201664 ,240367 ,287420 ,370272 ,162318 ,5272374 
,,,,승용다목적형 1500CC미만,7467 ,2713 ,1901 ,6577 ,1001 ,1347 ,682 ,479 ,16122 ,1704 ,1740 ,2198 ,1628 ,1321 ,1746 ,3507 ,1354 ,53487 
