,<,승용차의,배기량별,등록현황,,>,,,
조회년월:,2019.11,,,,,,,,
,배기량,1000 미만,1000 이상,1600 이상,2000 이상,2500 이상,저속전기차,전기차,계
시도,,,1600 미만,2000 미만,2500 미만,,,,
서울,,182296 ,507866 ,1096298 ,370687 ,502072 ,8 ,8948 ,2668175 
부산,,99550 ,226610 ,480349 ,149830 ,189845 ,6 ,2758 ,1148948 
대구,,86567 ,193218 ,406902 ,125520 ,174080 ,2 ,8238 ,994527 
인천,,154608 ,295683 ,541160 ,180705 ,204122 ,14 ,2049 ,1378341 
광주,,42592 ,112062 ,238111 ,72508 ,92653 ,2 ,2249 ,560177 
대전,,60578 ,128893 ,227704 ,68081 ,75193 ,1 ,2254 ,562704 
울산,,55706 ,100087 ,179033 ,66941 ,71349 ,2 ,2328 ,475446 
세종,,16842 ,33410 ,55368 ,18852 ,16187 , - ,644 ,141303 
경기,,508251 ,1052267 ,1853764 ,634078 ,666037 ,18 ,8847 ,4723262 
강원,,85719 ,135543 ,222054 ,74474 ,73443 ,2 ,1977 ,593212 
충북,,76097 ,147218 ,250334 ,81194 ,87393 ,3 ,2013 ,644252 
충남,,96686 ,189592 ,325680 ,110647 ,121522 ,6 ,2510 ,846643 
전북,,63519 ,153032 ,292693 ,89205 ,104136 ,1 ,1390 ,703976 
전남,,71923 ,159537 ,307050 ,103456 ,120554 ,8 ,2212 ,764740 
경북,,133588 ,226475 ,412159 ,134143 ,160448 ,5 ,2842 ,1069660 
경남,,179575 ,289106 ,529558 ,166433 ,194727 ,3 ,3088 ,1362490 
제주,,46488 ,106994 ,172050 ,74870 ,80015 , - ,10878 ,491295 
합계,,1960585 ,4057593 ,7590267 ,2521624 ,2933776 ,81 ,65225 ,19129151 
