,<,승용차의,배기량별,등록현황,,>,,,
조회년월:,2018.11,,,,,,,,
,배기량,1000 미만,1000 이상,1600 이상,2000 이상,2500 이상,저속전기차,전기차,계
시도,,,1600 미만,2000 미만,2500 미만,,,,
서울,,183987 ,506368 ,1099277 ,357011 ,505634 ,12 ,4557 ,2656846 
부산,,99349 ,226326 ,473146 ,139115 ,184462 ,4 ,980 ,1123382 
대구,,86238 ,192226 ,403205 ,119513 ,173389 ,2 ,3723 ,978296 
인천,,146711 ,275080 ,527296 ,168385 ,199380 ,11 ,773 ,1317636 
광주,,42081 ,109124 ,236290 ,67513 ,91881 ,3 ,976 ,547868 
대전,,60584 ,127505 ,228937 ,64425 ,75334 ,3 ,989 ,557777 
울산,,54222 ,98347 ,179186 ,63139 ,72465 ,1 ,857 ,468217 
세종,,15488 ,30123 ,50347 ,15965 ,14720 , - ,218 ,126861 
경기,,489862 ,1006449 ,1816799 ,592548 ,659780 ,29 ,3719 ,4569186 
강원,,83289 ,130320 ,220321 ,70236 ,73191 ,2 ,850 ,578209 
충북,,73965 ,141315 ,243833 ,75296 ,85234 ,3 ,796 ,620442 
충남,,94317 ,183451 ,321937 ,103386 ,119837 ,7 ,693 ,823628 
전북,,62528 ,147949 ,290620 ,83941 ,104703 ,2 ,595 ,690338 
전남,,69892 ,151503 ,303558 ,97207 ,117709 ,10 ,960 ,740839 
경북,,131763 ,222116 ,408428 ,125833 ,158105 ,8 ,978 ,1047231 
경남,,176817 ,283588 ,526200 ,157211 ,192503 ,3 ,1325 ,1337647 
제주,,45190 ,98063 ,161996 ,60787 ,74782 , - ,7570 ,448388 
합계,,1916283 ,3929853 ,7491376 ,2361511 ,2903109 ,100 ,30559 ,18632791 
