,<,승용차의,배기량별,등록현황,,>,,,
조회년월:,2017.11,,,,,,,,
,배기량,1000 미만,1000 이상,1600 이상,2000 이상,2500 이상,저속전기차,전기차,계
시도,,,1600 미만,2000 미만,2500 미만,,,,
서울,,184815 ,508812 ,1099891 ,337551 ,509347 ,23 ,1036 ,2641475 
부산,,98379 ,223770 ,457240 ,126361 ,176449 ,4 ,352 ,1082555 
대구,,85385 ,189914 ,396865 ,111307 ,171304 ,4 ,410 ,955189 
인천,,139865 ,259617 ,509989 ,150455 ,195447 ,13 ,226 ,1255612 
광주,,41688 ,106317 ,234197 ,61683 ,90328 ,2 ,135 ,534350 
대전,,59757 ,125849 ,227782 ,59331 ,74803 ,3 ,89 ,547614 
울산,,52736 ,96910 ,178757 ,58694 ,72015 ,1 ,127 ,459240 
세종,,13581 ,26020 ,43931 ,12803 ,12801 , - ,24 ,109160 
경기,,467220 ,957470 ,1754280 ,530826 ,641317 ,42 ,629 ,4351784 
강원,,80834 ,125333 ,216913 ,64451 ,72088 ,7 ,170 ,559796 
충북,,71226 ,135576 ,238416 ,68209 ,83087 ,3 ,90 ,596607 
충남,,91055 ,175815 ,314457 ,93224 ,116524 ,6 ,156 ,791237 
전북,,61069 ,143400 ,285523 ,76274 ,102668 ,2 ,115 ,669051 
전남,,66451 ,141171 ,297247 ,88746 ,113960 ,18 ,361 ,707954 
경북,,129141 ,217298 ,404007 ,115954 ,153871 ,6 ,227 ,1020504 
경남,,173348 ,277928 ,520492 ,147081 ,191970 ,3 ,424 ,1311246 
제주,,43933 ,89110 ,147408 ,46202 ,67175 ,2 ,3219 ,397049 
합계,,1860483 ,3800310 ,7327395 ,2149152 ,2845154 ,139 ,7790 ,17990423 
