,<,승용차의,배기량별,등록현황,,>,,,
조회년월:,2021.11,,,,,,,,
,배기량,1000 미만,1000 이상,1600 이상,2000 이상,2500 이상,저속전기차,전기차,계
시도,,,1600 미만,2000 미만,2500 미만,,,,
서울,,176862 ,528183 ,1067652 ,424175 ,506734 ,32 ,36341 ,2739979 
부산,,100235 ,242576 ,478827 ,188331 ,202178 ,8 ,10651 ,1222806 
대구,,87154 ,204616 ,394320 ,144757 ,176623 ,11 ,13941 ,1021422 
인천,,151775 ,322134 ,507933 ,219591 ,211501 ,38 ,10812 ,1423784 
광주,,42473 ,122815 ,233750 ,86112 ,95178 ,5 ,4844 ,585177 
대전,,60501 ,139034 ,220307 ,80590 ,76376 ,19 ,7243 ,584070 
울산,,57433 ,108982 ,166648 ,83469 ,71263 ,4 ,4720 ,492519 
세종,,17199 ,39307 ,59593 ,25426 ,18775 , - ,1728 ,162028 
경기,,526305 ,1185371 ,1893190 ,788845 ,713218 ,76 ,33728 ,5140733 
강원,,88065 ,152578 ,220190 ,90248 ,75896 ,11 ,7211 ,634199 
충북,,79128 ,166745 ,252117 ,98881 ,94477 ,28 ,6430 ,697806 
충남,,100163 ,211141 ,322538 ,133908 ,127064 ,13 ,8150 ,902977 
전북,,63672 ,166203 ,286593 ,106902 ,105833 ,2 ,5810 ,735015 
전남,,80777 ,196283 ,316034 ,141695 ,128786 ,12 ,6942 ,870529 
경북,,136038 ,246276 ,405539 ,159622 ,167098 ,24 ,7678 ,1122275 
경남,,185087 ,320277 ,526959 ,219577 ,212454 ,8 ,10770 ,1475132 
제주,,49918 ,126700 ,161982 ,112180 ,80532 ,37 ,21202 ,552551 
합계,,2002785 ,4479221 ,7514172 ,3104309 ,3063986 ,328 ,198201 ,20363002 
