,<,승용차의,배기량별,등록현황,,>,,,
조회년월:,2020.11,,,,,,,,
,배기량,1000 미만,1000 이상,1600 이상,2000 이상,2500 이상,저속전기차,전기차,계
시도,,,1600 미만,2000 미만,2500 미만,,,,
서울,,179939 ,521080 ,1089416 ,399622 ,503086 ,12 ,17272 ,2710427 
부산,,100299 ,234350 ,484223 ,167722 ,195521 ,6 ,4553 ,1186674 
대구,,87524 ,200368 ,411634 ,136841 ,179887 ,5 ,9072 ,1025331 
인천,,155075 ,315496 ,535922 ,204856 ,209364 ,17 ,4287 ,1425017 
광주,,42566 ,117631 ,237848 ,80327 ,94537 ,1 ,3024 ,575934 
대전,,60721 ,134400 ,226059 ,75214 ,76164 ,7 ,3550 ,576115 
울산,,56711 ,104362 ,173701 ,76444 ,71374 ,3 ,3494 ,486089 
세종,,17183 ,36318 ,58039 ,22244 ,17367 , - ,882 ,152033 
경기,,519505 ,1123025 ,1886693 ,713821 ,688904 ,31 ,15824 ,4947803 
강원,,86904 ,144608 ,223074 ,82902 ,75131 ,5 ,3422 ,616046 
충북,,77924 ,158053 ,251918 ,89975 ,90304 ,7 ,3125 ,671306 
충남,,98395 ,200966 ,326279 ,122757 ,124199 ,9 ,4316 ,876921 
전북,,63631 ,160214 ,292386 ,98739 ,105807 ,1 ,2547 ,723325 
전남,,74075 ,172058 ,308481 ,117923 ,124139 ,6 ,3695 ,800377 
경북,,134716 ,235035 ,410782 ,147255 ,164402 ,9 ,4125 ,1096324 
경남,,181700 ,303720 ,529157 ,191367 ,201420 ,4 ,4957 ,1412325 
제주,,47868 ,117180 ,172725 ,93877 ,81891 ,2 ,12335 ,525878 
합계,,1984736 ,4278864 ,7618337 ,2821886 ,3003497 ,125 ,100480 ,19807925 
